code,title,credits,description,,,,
CHEM 3333,Environmental Chemistry,3,"Chemical processes and reactions related to chemical pollution problems and their control in the atmosphere, soils and waters.",,,,
CHEM 3320,Survey of Physical Chemistry,3,"Appropriate for students pursuing the BA in Chemistry or a BS in Environmental Science. An overview of physical chemistry, thermodynamics, molecular structure, spectroscopy.",,,,
CHEM 3315,Survey of Instrumental Analysis,3,"The emphasis of this course is on practical aspects of chemical analysis using instrumental techniques. Lab exercises will include UV-Vis spectrophotometry, fluorescence spectroscopy, IR spectroscopy, GC-MS, LC-MS, and NMR spectroscopy. Biomedical, environmental and industrial applications will be considered. Cannot count toward a Chemistry major.",,,,
CHEM 3310,Advanced Chemical Calculations,3,"Prepares chemistry and biology students for math in Physical Chemistry and Biochemistry, using examples geared to these subjects.",,,,
CHEM 2377,Life and the Universe,3,"Origin of the universe, origin and evolution of life and the possibilities for finding life on other planets, including the search for extraterrestrial intelligence.",,,,
CHEM 2323,Organic Chemistry I,3,Study of properties and behavior of hydrocarbon compounds and their derivatives. Designed for students in science or pre-professional programs.,,,,
CHEM 2325,Organic Chemistry II,3,Continuation of properties and behavior of hydrocarbon compounds and their derivatives. Designed for students in science or pre-professional programs.,,,,
CHEM 2302,Analytical Chemistry II,3,"An introduction to instrumental techniques, providing an introductory survey of modern instrumental techniques in analytical chemistry. Includes electrochemical, spectroscopic and chromatographic methods for the determination of atomic and molecular species. Specific topics in spectroscopy to be considered are UV-vis absorption, IR vibrational spectroscopy. Topics in chromatography include gas chromatography (GC) and high-performance liquid chromatography (HPLC).",,,,
CHEM 2301,Analytical Chemistry I,3,"An introduction to the theory of analytical chemistry; different approaches to analysis, sampling, statistical treatment and basic principles in analytical chemistry.",,,,
CHEM 2123,Laboratory for Organic Chemistry I,1,"Basic techniques and procedures in isolation, purification and characterization of organic compounds and simple reactions used in the organic chemistry lab.",,,,
CHEM 2125,Laboratory for Organic Chemistry II,1,Identified by specific title each time course is offered,,,,
CHEM 2102,Laboratory for Analytical Chemistry II,1,"This course provides hands-on experience in modern instrumental techniques in analytical chemistry. Includes UV-vis absorption, IR vibrational spectroscopy, gas chromatography (GC), high performance liquid chromatography (HPLC) and NMR etc.",,,,
CHEM 2101,Laboratory for Analytical Chemistry I,1,"This course provides hands-on training on analysis, sampling, statistical treatment and basic skills in analytical chemistry.",,,,
CHEM 1275,Survey of Forensic Chemistry,2,This course will survey current methods in Forensic Science (especially chemistry) by examining real cases.,,,,
CHEM 1372,Diet and Nutrition Chemistry,3,This is a survey course designed for non-science and allied health students. It includes the effects of nutrients on health and the role of diet in prevention or treatment of chronic diseases.,,,,
CHEM 1305,Introductory Chemistry I,3,"A survey course introducing chemistry, including topics in inorganic, organic, biochemistry, food/physiological chemistry, forensic and environmental/consumer chemistry. Designed for non-science majors. Credit may not be received for both CHEM 1305 and",,,,
CHEM 1311,General Chemistry I,3,"Fundamental principles of Chemistry for majors in sciences, health sciences and engineering; topics include inorganic, organic, biochemistry, chemical reactions, states of matter and properties, chemical bonding, structure and descriptive chemistry. Credit may not be received for both",,,,
CHEM 1312,General Chemistry II,3,Chemical equilibrium; phase diagrams and spectrometry; acid-base concepts; thermodynamics; kinetics; electrochemistry; nuclear chemistry; an introduction to organic chemistry and descriptive inorganic chemistry.,,,,
CHEM 1112,Laboratory for General Chemistry II,1,"; introduction of the scientific method, experimental design, chemical instrumentation, data collection and analysis and preparation of laboratory reports.",,,,
CHEM 1111,Laboratory for General Chemistry I,1,"; introduction of the scientific method, experimental design, data collection and analysis and preparation of laboratory reports. Credit may not be received for both",,,,
CHEM 1105,Laboratory for Introductory Chemistry I,1,"Laboratory for introductory chemistry that may include topics in inorganic, organic, biochemistry, food/physiological chemistry, forensic and environmental/ consumer chemistry. Credit may not be received for both CHEM 1105 and",,,,
BIOL 4391,Selected Topics in the Biological Sciences,3,Identified by specific title each time course is offered,,,,
BIOL 4389,Independent Study in Biology,3,"Approval of instructor, chair and associate dean.",,,,
BIOL 4362,Endocrinology,3,"Study of endocrine physiology and the roles of the endocrine system in maintaining homeostasis, integrating growth and development, responding to environmental insults and promoting successful reproduction. In addition, students will study hormone-related diseases such as diabetes.",,,,
BIOL 4355,Tissue Culture,3,"Students will learn how to manipulate cells in culture and develop laboratory skills in DNA transfection, gene expression, Luciferase assays and western blots.",,,,
BIOL 4371,Cancer Biology,3,"Cancer, genetics and heredity: prevention, detection and treatment of cancer.",,,,
BIOL 4361,Immunology,3,"Basic theory of humoral and cellular immune mechanisms, structure and function of antibodies, cellular and physiological consequences of immunological responses.",,,,
BIOL 4354,Introduction to Bioinformatics,3,Identified by specific title each time course is offered,,,,
BIOL 4351,Molecular Biology,3,"Study of how the cell functions at the molecular level, structures of the genome in prokaryotes and eukaryotes and basic elements involved in the regulation of gene expression.",,,,
BIOL 4349,Plant Development,3,"Study of the developmental processes involved in seed germination, tissue differentiation, vegetative growth and transitioning to reproduction.",,,,
BIOL 4348,Developmental Biology,3,"Embryology, tissue differentiation, cell determination and pattern formation at both descriptive and molecular level. Emphasis on animal systems with additional examples from plants and protists.",,,,
BIOL 4347,Cellular Physiology,3,"Cell structure and function; emphasis on cytological, biochemical, genetical and developmental perspectives.",,,,
BIOL 4345,Human Physiology,3,This course will introduce basic and advanced principles of human physiology. The study of physiology will be presented using an integrated systems approach. Lectures on topics ranging from physiology of the nervous system to human reproduction will be presented.,,,,
BIOL 4346,Pathophysiology,3,This course will study the abnormal physiology characteristic of diseases in humans. A physiological systems approach will be taken.,,,,
BIOL 4344,Comparative Animal Physiology,3,Survey of bodily functions in both vertebrates and invertebrates. Emphasis will be on the use of the comparative approach in understanding how animals physiologically respond and adapt to environmental challenges.,,,,
BIOL 4343,Plant Physiology,3,Survey of bodily functions in both vertebrates and invertebrates. Emphasis will be on the use of the comparative approach in understanding how animals physiologically respond and adapt to environmental challenges. ,,,,
BIOL 4342,Biochemistry II,3,Regulation and control of intermediary metabolism. Introduction to biochemical genetics.,,,,
BIOL 4341,Biochemistry I,3,Study of cellular biochemical components and metabolism.,,,,
BIOL 4211,Laboratory for Ecology,2,"Four laboratory hours per week. Conduct experiments on population growth, competition and predation to test theoretical models; construct life tables.",,,,
BIOL 4335,Forensic Biology,3,"Theory and techniques used in biological investigations of crimes, including toxicological, genetic and DNA analysis.",,,,
BIOL 4195,Cooperative Education Work Term,1,Educational paid work assignment by a student in the field of career interest and course of study. A technical report is required at the end of the semester. (Specific requirements are noted in the Cooperative Education catalog description.),,,,
BIOL 4191,Laboratory Topics in Biology,1,Laboratory experiments and activities astronomy.,,,,
BIOL 4189,Independent Study in Biology,1,Laboratory experiments and activities in stellar and galactic astronomy.,,,,
BIOL 4114,Laboratory for Freshwater Biology,1,Laboratory study of freshwater organisms; multiple weekends and/or weekday field trips to study sites off campus.,,,,
BIOL 4113,Laboratory for Biology of Fishes,1,"Laboratory course on identification, anatomy, morphology and ecology of fish. Weekend or weekday field trips and collections required.",,,,
BIOL 3413,Plant Anatomy,4,"The course is an introduction to the basic structures of plants including cells, tissues and organs. Students will learn how to examine and understand plant structure and how these structures function in physiology, ecology, genetics and evolution of plants.",,,,
BIOL 3350,Animal Behavior,3,"Animal Behavior focuses on the perspectives, theories and methods of the scientific study of the mechanistic and evolutionary causes of animal behavior. It will cover topics such as foraging, parental behaviors and social behaviors.",,,,
BIOL 3373,Human Anatomy,3,Fundamentals of human anatomy emphasizing an organ-systems approach to the study of the human body. Lecture and demonstration.,,,,
BIOL 3336,Neuropsychology Practicum,3,"Laboratory investigation of brain/behavior relationships in rats. Readings from primary research literature, lab experiments and research reports.",,,,
BIOL 3341,Molecular Genetics,3,,,,,
BIOL 3335,Epidemiology,3,Identified by specific title each time course is offered,,,,
BIOL 3333,Environmental Biology,3,"The impacts of pollution, anthropogenic activities and other stresses on ecosystem structure and function. Course designed for science majors.",,,,
BIOL 3334,Pathogenic and Public Health Microbiology,3,"Focuses on the causality of infectious diseases, modes of dissemination, laboratory diagnosis and prevention and control.",,,,
BIOL 3316,Introduction to Herpetology,3,"This course is designed to give the student a basic understanding of the science of herpetology. Includes an overview of the characteristics of reptiles and amphibians, with special emphasis on snakes. Classes will include training on collection, handling and identification of local species with some off-campus field trips to local areas and zoos.",,,,
BIOL 3313,Plant Anatomy,3,"Structures, tissues and cells of vegetative and reproductive organs of land plants, related to concepts of growth, differentiation and organization function and evolutionary history.",,,,
BIOL 3306,Development of the Sciences,3,"Concepts, techniques, practices and philosophy of science, illustrated with historical and contemporary examples. Biology majors may use only as an unrestricted elective.",,,,
BIOL 3311,Marine Biology,3,Study of marine organisms and their environment. One or more weekend or weekday field trips and limited laboratory exercises are required.,,,,
BIOL 3307,Cell Biology,3,"Study of cell structure and function, including chemical components of cells, membrane transport, cell signaling, flow of genetic information, cell growth and cell division. Experimental techniques used in understanding cell biology will be discussed, along with the cellular basis of human diseases.",,,,
BIOL 3173,Laboratory for Human Anatomy,1,"The structure of the human body will be studied using anatomical models, preserved tissue specimens and computer programs.",,,,
BIOL 3113,Laboratory for Plant Anatomy,1,"Examination of plant structure and function by comparing differences in the major tissue types in each plant organ (leaf, root, stem and reproductive). Students will prepare tissue mounts of both nutrient-sufficient and nutrient-deficient plants to examine structural changes in the different tissues.",,,,
BIOL 3141,Laboratory for Molecular Genetics,1,Laboratory investigations using molecular genetics to demonstrate principles of transmission and population genetics.,,,,
BIOL 2428,Vertebrate Zoology,4,"Lecture and laboratory exercises on the structure, development, physiology and natural history of the vertebrate animals with emphasis on comparative evolution.",,,,
BIOL 2301,Anatomy & Physiology I,3,"Study of the structure and function of the integumentary, skeletal, muscular, nervous and endocrine systems. Not for Biology or Fitness & Performance majors; does not count toward any B.S. or B.A. degree specialization in Biology.",,,,
BIOL 2321,Microbiology for Science Majors,3,"Study of the morphology, physiology and taxonomy of representative groups of pathogenic and non-pathogenic microorganisms.",,,,
BIOL 2302,Anatomy & Physiology II,3,"Lab study of the structure and function of the cardiovascular, respiratory, digestive, urinary and reproductive systems. Basic principles of genetics are included. Not for Biology or Fitness & Performance majors; does not count toward any B.S. or B.A. degree specialization in Biology.",,,,
BIOL 2102,Laboratory for Anatomy and Physiology II,1,"Lab study of the structure and function of the cardiovascular, respiratory, digestive, urinary and reproductive systems. Basic principles of genetics are included. Not for Biology or Fitness & Performance majors; does not count toward any B.S. or B.A. degree specialization in Biology.",,,,
BIOL 1309,Biology for Non-Science Majors II,3,"This course will provide a survey of biological principles with an emphasis on humans, including evolution, ecology, plant and animal diversity and physiology. Credit may not be received for both",,,,
BIOL 2121,Laboratory for Microbiology for Science Majors,1,Identified by specific title each time course is offered. Laboratory instruction.,,,,
BIOL 2101,Laboratory for Anatomy and Physiology I,1,"Lab study of the structure and function of the integumentary, skeletal, muscular, nervous and endocrine systems. Not for Biology or Fitness & Performance majors; does not count toward any B.S. or B.A. degree specialization in Biology.",,,,
BIOL 1308,Biology for Non-Science Majors I,3,"Provides a survey of biological principles with an emphasis on humans, including chemistry of life, cells, structure, function and reproduction. Credit may not be received for both",,,,
BIOL 1109,Laboratory for Biology Non-Science Majors II,1,"Laboratory activities will reinforce a survey of biological principles with an emphasis on humans, including evolution, ecology, plant and animal diversity and physiology. Credit may not be received for both",,,,
BIOL 1307,Biology for Science Majors II,3,"A continuation of Biology for Science Majors I with emphasis on fungi, protists, plants, plant function, animals, animal physiology and ecology. Credit may not be received for both BIOL 1307 and",,,,
BIOL 1306,Biology for Science Majors I,3,"A general biology course including biochemistry, cell biology, cell metabolism and energetics, photosynthesis, genetics, evolution, taxonomy, bacteria and viruses. Credit may not be received for both BIOL 1306 and",,,,
BIOL 1108,Laboratory for Biology Non-Science Majors I,1,"Laboratory activities will reinforce a survey of biological principles with an emphasis on humans, including chemistry of life, cells, structure, function and reproduction. Credit may not be received for both",,,,
BSCI 4391,Selected Topics in Behavioral Sciences,3,Identified by specific title each time course is offered. Laboratory instruction.,,,,
BIOL 1107,Laboratory for Biology for Science Majors II,1,"Laboratory exercises relating to fungi, protists, plants, plant function, animals, animal physiology and ecology. Credit may not be received for both BIOL 1107 and",,,,
BIOL 1106,Laboratory for Biology for Science Majors I,1,"Laboratory exercises in basic biochemistry, cell biology, cell metabolism and energetics, photosynthesis, genetics, evolution, taxonomy, bacteria and viruses. Credit may not be received for both BIOL 1106 and",,,,
ASTR 4391,Selected Topics in Space Science,3,Identified by title each time course is offered.,,,,
BSCI 4389,Independent Study in Behavioral Sciences,3,Identified by specific title each time course is offered. Laboratory instruction.,,,,
ASTR 2377,Life and the Universe,3,"Origin of the universe, origin and evolution of life and the possibilities for finding life on other planets, including the search for extraterrestrial intelligence.",,,,
ASTR 1104,Laboratory for Solar System,1,Identified by specific title each time course is offered. Laboratory instruction.,,,,
ASTR 3311,Stellar Astrophysics,3,"An introduction to topics in modern astrophysics. Celestial mechanics, atomic and stellar spectra, binary stars, stellar atmospheres, modeling stellar interiors, lives and deaths of stars, stellar remnants and black holes.",,,,
ASTR 4312,Principles of Astrobiophysics,3,"Overview of the search for life in the universe, including origin and evolution of habitable planets in the solar system and beyond.",,,,
ASTR 1304,Solar System,3,"Part of a two-semester survey course in astronomy intended for both science and non-science majors. History of astronomy, Copernican revolution, astronomical observation, physics of planetary motion, comparative study of planet surfaces and atmospheres, moons, asteroids, comets, planetary system formation and exoplanets.",,,,
ASTR 4311,Universal Origins,3,Laboratory experiments and activities in stellar and galactic astronomy.,,,,
ASTR 1303,Stars and Galaxies,3,"Part of a two-semester survey course in astronomy intended for both science and non-science majors. Properties of the sun and stars, stellar spectra, stellar formation, life and death of stars, formation of the elements, black holes, galaxies, expansion of the universe and cosmology. Laboratory experiments and activities in stellar and galactic astronomy.",,,,
ASTR 1103,Laboratory for Stars and Galaxies,1,Laboratory experiments and activities in stellar and galactic astronomy.,,,,
ARTS 4393,Independent Study in Art History,3,independent Study in Art History.,,,,
ARTS 4394,Selected Topics in Art & Design,3,Identified by specific title each time course is offered. Laboratory instruction.,,,,
ARTS 4391,Selected Topics in Art History,3,Identified by specific subtitle each time course is offered. Read topic description for more details. Topics vary;,,,,
ARTS 4389,Independent Study in Art,3,Personal projects in Art. Enrollment requires a written proposal. Permission of instructor required. May be taken for 3 hours of credit.,,,,
ARTS 4390,Senior Seminar in Art,3,Required capstone course for Arts majors. Prepares students for graduate and professional engagement from several theoretical and practical perspectives.,,,,
ARTS 4392,Arts Internship,3,To distinguish selected topics courses in Art & Design from those in Art History.,,,,
ARTS 4384,Museum Education,3,"Art History. An examination of museum pedagogy. Topics include tour techniques, public programming, museum-school services, object-based learning and the development of educational materials. Includes lectures, field trips and individual projects.",,,,
ARTS 4377,Topics in Contemporary Art,3,Art History. Concentrated study in a single topic pertaining to contemporary art (post-WW2 period). Topics vary;,,,,
ARTS 4376,Studies in Non-Western Art,3,"Art History. Studies in the art, aesthetics, and cultural politics of India, China, Japan, Africa and the Americas. Topics vary; may be repeated for credit with permission of instructor.",,,,
ARTS 4374,Modern Art,3,"Art History. Modernity, modernism, fantasy and enigma in early 20th-century European and American art and architecture by such masters as Picasso, Matisse, Kandinsky, Mondrian, Duchamp, Dali, Magritte, Kahlo, Brancusi, Frank Lloyd Wright, Le Corbusier and O’Keeffe.",,,,
ARTS 4370,Gender and Identity in the Visual Arts,3,"Feminist art theory, criticism and experiences of women artists in 20th century. Issues such as reclaiming past histories, seeking forms to valorize feminine experience and exploring personal identity. Women’s Studies Course.",,,,
ARTS 4375,Contemporary Art,3,"Art History. Art theory and criticism - postmodernist discourses. Understanding and interpreting art since 1950. Follows the movements and relevant key figures from Abstract Expressionism to Pop Art to postmodern multiculturalism by such artists as Rothko, Rauschenberg, Warhol, Nevelson, Beuys, Sherman, Holzer, Kiefer and Viola.",,,,
ARTS 4366,Propaganda and Persuasive Images,3,"Art History. Examines the theory and use of propagandistic and persuasive imagery with particular focus on the twentieth century. The propaganda of World War II will form a major unit, as well as a study of modern photo manipulation and advertising strategies.",,,,
ARTS 4368,Graphic Novel Design,3,"Write, create and produce original graphic novels. Techniques include both on- and off-computer skills, scripting, character design and motion studies. Professional examples will be discussed.",,,,
ARTS 4369,Digital Illustration,3,"Design projects using various techniques including Adobe software, typography, and photo illustration. Assignments emphasize concept, creativity, communication, technical achievement and presentation. Topics vary;",,,,
ARTS 4363,Advertising Design,3,Survey of image techniques used in the field of advertising. Design projects requiring various computer techniques. Previously established design skills are required.,,,,
ARTS 4364,Museum Studies,3,"Art History. Introduces students to the theory and operations of fine arts museums, including strategies of display, collection management, accessions and public relations. The course will include visits to a local gallery and museum spaces. (Cross-listed with",,,,
ARTS 4353,Portrait Photography,3,"Studio exploration of photographic portraiture. Investigation of natural and studio lighting, as well as poses, and digital retouching. Projects vary; Experience with a digital camera and manipulation practices required. Prerequisite:",,,,
ARTS 4352,Video Arts,3,"Exploration of various methods and processes of video production using non-linear editing equipment. Emphasizes concept development, experimentation and artistic expression. A working knowledge of video cameras and basic editing skills is helpful.",,,,
ARTS 4358,History and Theory of Graphic Design,3,History of graphic design from the inception of written communication to postmodern design and digital revolution.,,,,
ARTS 4351,Advanced Digital Photography,3,Emphasis on Photoshop and post-camera processes. Collage work includes Digital Matte Painting and Advanced Photoshop Effects. Access to a DSLR camera required. Topics vary;,,,,
ARTS 4341,Advanced Fibers,3,Identified by specific title each time course is offered,,,,
ARTS 4350,Advanced Film Photography,3,"Further exploration of traditional photography as an artistic medium. Emphasis on craft, concept, and alternative print processes. Topics vary;",,,,
ARTS 4348,Information Design,3,"Exploration and design of infographics from a variety of data, statistics and informational sources. Course lectures include visual translation, visual problem-solving and overviews of professional infographics. Topics vary.",,,,
ARTS 4340,Advanced Printmaking,3,". This can include exploration in either linocut, woodcut, etching, silkscreen, monotype, lithography or a combination. Students will be encouraged to develop conceptual ideas in addition to refining their skills.",,,,
ARTS 4335,Advanced Painting,3,"This course encourages students to pursue individual approaches and explore painting as an independent discipline. Through studio painting practices and integration with the study of theory, students will develop a personal sense of imagery.",,,,
ARTS 4322,Roman Art,3,"Art History. The art, history, and culture of the ancient Roman world from the foundation of Rome (753 B. C. E.) through Constantine (337 C. E.). An investigation of architecture, sculpture, painting and other arts, especially as they relate to the social and political developments of ancient Italy and the Mediterranean. (Cross-listed with",,,,
ARTS 4339,Silkscreen Printing,3,"Printmaking course focusing specifically on the technique of silkscreen. Students will learn various ways to create imagery with silkscreen, including the use of screen-filter stencils, hand-drawn stencils, and digital/photo-based stencils.",,,,
ARTS 4332,Advanced Life Drawing,3,"Advanced techniques of proportion and accuracy in drawing the human form. Students continue to work from live model in pencil, paste, and charcoal in both detailed and gesture drawings. Topics vary;",,,,
ARTS 4331,Advanced Drawing,3,"This course encourages students to pursue individual approaches and explore drawing as an independent discipline. Through studio drawing practices and integration with the study of theory, students will develop a personal sense of imagery.",,,,
ARTS 4320,Advanced Ceramics,3,"Emphasis on individual projects and personal growth through technique and concept. Focused investigation and application of ceramic materials, approaches and processes including wheel-throwing, hand-building, mold making, glazing and kiln firing.",,,,
ARTS 4315,Art of the Ancient Greek World,3,"Art History. The art, history and culture of the ancient Greek world from the Bronze Age through the Hellenistic period. Topics include appropriation, cultural heritage, and gender studies. (Cross-listed with",,,,
ARTS 4312,Art of Ancient Iraq and the Near East,3,"Art History. The art, history and culture of Ancient Iraq and the Near East. Topics include prehistoric art, state formation, ideology and empire. (Cross-listed with",,,,
ARTS 3335,Intermediate Painting,3,This course expands upon the methods and techniques introduced in beginning painting courses. Studio assignments will encourage students to relate conceptual ideas with their technical skills while exploring a range of painting media.,,,,
ARTS 3320,Ceramics,3,"Introduction to basic ceramic approaches, materials, and processes including wheel throwing, hand-building, glazing and kiln firing. Examines contemporary and historical approaches to ceramics, focusing on the vessel and sculptural objects.",,,,
ARTS 3333,Life Drawing,3,"Introduction to techniques of proportion and accuracy in drawing the human form starting from the skeleton and progressing to a live model. Students work in pencil, pastel, and charcoal in both detailed and gesture drawings. Topics vary;",,,,
ARTS 3331,Intermediate Drawing,3,"Expands upon the methods and techniques introduced in beginning drawing courses. Studio assignments will encourage students to relate conceptual ideas with their technical skills, while exploring a range of drawing media.",,,,
ARTS 3310,Sculpture,3,"A study of three-dimensional forms as related to techniques, processes, aesthetics and other materials.",,,,
ARTS 2379,Arts and the Child,3,"Prepares individuals to teach three art forms visual art, music and theater",,,,
ARTS 3305,Digital Photography 2,3,Introduction to Digital Photo Manipulation. Introduction to combining images and computer collage in Photoshop. Lectures on professional practices. Prerequisite:,,,,
ARTS 2372,Integrating Visual Art: Arts and STEM,3,Integrate visual art strategies with STEM to teach early childhood to high school-aged children. Introduction to visual arts TEKS and fundamentals of art concepts.,,,,
ARTS 1371,Photography for Non-Art Majors,3,Exploration of basic methods and processes of the photographic medium. Topics include use of camera and techniques for taking better photographs.,,,,
ARTS 2371,Digital Photography 1,3,"Introduction to Digital Photography. Emphasis on the manual controls of the DSLR camera including ISO, aperture and shutter speeds. Introduction to Photoshop, image enhancement and combining images. Lectures on portraiture and studio photography.",,,,
ARTS 1325,Drawing for Non-Art Majors,3," ""Exploration of drawing media"," composition and space relationships using recognizable forms.""",,,
ARTS 2316,Painting,3,"An introduction to the materials and techniques fundamental to the discipline of painting. Through observational studies, students will develop a technical and conceptual understanding of this expressive medium.",,,,
ARTS 1316,Drawing Foundations,3,"Introduces an array of materials and techniques fundamental to the practice of drawing. Through observational studies, students will develop a technical and conceptual understanding of this expressive medium.",,,,
ARTS 1311,Design Foundations,3,An exploration of the elements and principles of art within the context of two-dimensional design. Assignments will utilize various media to investigate concepts introduced in lectures and readings. Focus on terminology will enable students to speak and communicate knowledgeably about their work.,,,,
ARTS 1314,Dance Appreciation,3,"Dance Appreciation provides an introduction to Dance including its cultural, social, and artistic aspects. This course examines Dance as a primary mode of human expression and communication with emphasis on historical perspectives, observation and analysis of live and video performance and exploration/analysis of creative and expressive experiences.",,,,
ARTS 1304,World Art Survey II,3,"Examination of painting, sculpture, architecture and other arts from the post-Renaissance to the contemporary period.",,,,
ARTS 1303,World Art Survey I,3,"Examination of painting, sculpture, architecture and other arts from prehistoric to Renaissance periods.",,,,
ANTH 4389,Independent Study in Anthropology,3,"Exploration of drawing media, composition and space relationships using recognizable forms.",,,,
ANTH 4372,Applied Qualitative Methods,3,"Skill-building course focused on different methods, protocols and techniques of qualitative research practices as applicable in social science studies and beyond.",,,,
ANTH 4391,Selected Topics in Anthropology,3,Identified by specific title each time course is offered. Laboratory instruction.,,,,
ANTH 4364,Visual Anthropology,3,"Study of anthropology through visual media, specifically film and still photography",,,,
ANTH 4352,World Prehistory and Archaeology,3,An examination of the basic methods and theories used by archaeologists to explore human evolution and prehistory.,,,,
ANTH 4351,"Families, Communities, and Globalization",3,"An examination of ideas of family, race, gender, and relatedness in transnational and cross-cultural perspectives. Draws on case studies and theories from anthropology and other fields.",,,,
ANTH 4343,Anthropological Perspectives on World Religion,3," ""Analysis of the ways religion is lived and practiced in diverse communities in the world.""",,,,
ANTH 4342,"Human Rights, Social Justice, Health",3,Critical examination of human rights in the contemporary period with a focus on their connection to health and well-being.,,,,
ANTH 4341,Gender and Sexuality in Global Perspectives,3,"Explores the many ways gender and sexuality are constructed cross-culturally. Compares the way different societies conceptualize each gender and assign them social, economic and political significance.",,,,
ANTH 4335,Anthropology of Immigrants and Refugees,3,"Explores experiences of immigrants and refugees in the United States and globally from an anthropological perspective with particular attention to policy-making, equity and inclusion.",,,,
ANTH 4334,Native Americans,3,An examination of the social and cultural diversity of indigenous peoples of North America from anthropological and historical perspectives.,,,,
ANTH 4303,Islam in America,3,Explores various communities of Muslims from the American colonial period to the present with an emphasis on ethnic groups in different regions of the U.S.,,,,
ANTH 4333,"Mexico, Central America, and Borderlands",3,"Analysis of historic and contemporary regions of Mexico, Central America and the U.S.-Mexico borderlands. Particular attention to gender, popular uprisings, race and class.",,,,
ANTH 4330,Cultural Study Abroad,3,"Course exposes students to culture, history, religion, and politics of another country. Involves foreign travel and includes a prerequisite of a semester-long course focusing on the study-abroad country.",,,,
ANTH 4306,Service Learning,3,"Service Learning is a course designed for students to take an active part in organized experiences that meet actual community needs, combined with academic instruction, focusing on critical, reflective thinking and personal and civic responsibility. This course will involve students in activities that address community-identified needs with service-integrating academic skills.",,,,
ANTH 4304,"The Arab Gulf: Culture, Economy, Modernity",3,"The course explores the unique cultures of the Arab Gulf region in historical, contemporary and diplomatic perspectives.",,,,
ANTH 4302,Applied Anthropology,3,"Explores application of anthropological insights and methods to address practical issues and public policy. It employs essential tools that can be used in many applied settings including governmental organizations, non-profits and the private sectors.",,,,
ANTH 4301,Studies in Cultural Diversity,3,"Critical examination of cultural diversity as expressed in formations of ethnicity, race, class, nationalism and gender. Topics vary;",,,,
ANTH 3362,Medicine and Culture,3,"Study of the relationships among illness, health, healing systems, the human body, bodily practices and broader systems of social power through lecture, discussion, films and projects.",,,,
ACCT 5432,Acct for Govt & Not Profit,4,"The course covers the government and not-for-profit environment, fund accounting, budgeting, revenue and expenditure recognition, financial reporting requirements and current issues.",,,,
ACCT 5337,ERP System Concepts and Practices,3,This course examines the integrated nature of business processes and how ERP systems can be configured to handle those processes. Students receive hands-on experience using SAP’s current enterprise software. (Cross-listed with ISAM 5431).,,,,
ANTH 3361,Anthropology of Food,3,"Exploration of production, consumption and distribution of food in the United States and internationally.",,,,
ACCT 5335,Information Systems Audit and Security,3,"Discussion of the audit process, internal controls as they relate to technology, and business process documentation. Study of business processes, deployment and management of technology resources, risk assessment and change management, IT networks and IT governance. Extensive hands-on experience detecting fraud using generalized audit software (IDEA). Discussion of computer forensics and other current topics related to IT security. Written communication skills are emphasized through the preparation of audit reports based on findings from fraud detection assignments. Covers topics tested in the Certified Information Systems Auditor (CISA) exam. (Cross-listed with ISAM 5731).",,,,
ACCT 5431,Advanced Accounting,4,"Accounting and reporting of domestic and foreign consolidated corporations and branches, governmental and other not-for-profit entities.",,,,
ACCT 5336,Systems Analysis and Design,3,This course provides a step-by-step approach to developing computer-based information systems. It covers topics such as systems development life cycle; systems development methodologies; system requirements determination and analysis; user-interface design; programs design and system architecture. The course includes a comprehensive group project. (Cross-listed with ISAM 5635.).,,,,
ACCT 5334,Advanced Database Applications Development,3,"The course covers advanced commands and techniques to: design, develop and maintain a database; insert and update data in a database, retrieve information and generate reports and develop and implement database objects to manage, control and administer database processing. Includes numerous hands-on assignments. The coursework requirements also include Oracle SQL and Oracle PL/SQL certifications. (Cross-listed with ISAM 5632.)",,,,
ACCT 5333,Fundamentals of Databases and Business Intelligence,3,"The topics covered include the following: (1) database concepts such as database models, modeling techniques and normalization; design, development, and maintenance of a relational database; formulation of commands to insert and update data, retrieve information, generate reports from a database; and (2) business intelligence concepts such as: business intelligence architecture; schema of a data warehouse; online analytical processing; big data; and NoSQL databases. Includes numerous hands-on assignments. (Cross-listed with ISAM 5331).",,,,
ACCT 5234,Corporate and Pass-Through Entity Taxation,2,"This course addresses entity-level taxation including corporations, partnerships, limited liability companies, limited liability partnerships, S corporations and fiduciaries. The course examines the link between the accounting information reported for financial statement purposes and the information reported on business tax returns.",,,,
ACCT 4379,Internship in Accounting,3,Identified by specific title each time course is offered. Laboratory instruction.,,,,
ACCT 4391,Selected Topics in Accounting,3,Identified by title each time course is offered.,,,,
ACCT 4389,Independent Studies in Accounting,3,Identified by specific title each time course is offered. Laboratory instruction.,,,,
ACCT 4353,Federal Taxation of Business Entities,3,"This course is designed to provide a broad overview of entity taxation and the link between the accounting information reported for financial statement purposes and the information reported on business tax returns. It addresses the income tax laws governing the taxation of corporations, partnerships, limited liability companies, limited liability partnerships and S corporations.",,,,
