Code,Title,Hours,Description
ENGL 251,"Creative Writing: Poetry, Fiction, and Drama",3 hours,"A survey course studying and producing the three basic writing forms mentioned in the course 
title. The course will also examine uses and markets for these forms."
ENGL 310,English for Teaching and Editing,3 hours,"An advanced grammar course focusing on understanding, applying, and communicating the rules 
of English usage. Application sections deal with techniques for editing and preparation of 
instructional material, including those for speakers of English as a second language."
ENGL 321,19th and 20th Century Women Writers,3 hours,"166 
 
An examination of selected works of various authors. In addition to examining the literature, 
students will investigate how the lives, cultures, and philosophical perspectives of the authors 
influenced their writing. (Prerequisite: ENGL 220 or its equivalent)"
ENGL 330,Survey of Dramatic Literature,3 hours,"A period literature survey (from ancient Greece to contemporary America) with discussion of 
theater practices and theatrical figures as well as textual meaning. Emphasis is placed on student 
participation through responses to texts and presentation of period studies and semester projects. 
(Prerequisite: ENGL 220 or its equivalent)"
ENGL 335,Drama Production and Performance,3 hours,"A survey course leading students step by step through the elements of drama production, from 
selecting material through cast selection and training to performance. Emphasis will be placed on 
developing skills and building a drama program in a school or church."
ENGL 380,Literary Theory and Criticism,3 hours,"An introduction to the major trends in twentieth-century literary theory and criticism: Russian 
Formalism, New Criticism, Reader-Oriented Criticism, Structuralism, Post-Structuralism, 
Deconstruction, Psychoanalytic Criticism, Feminism, Marxism, New Historicism, and Cultural 
Studies (Post-Colonialism, African-American Criticism, and Queer Theory). Additionally, 
students will gain experience in apply principles and methods of literary scholarship. 
(Prerequisite: ENGL 220 or its equivalent) 
 
History"
HIST 110,Ancient Near Eastern History,3 hours,"An overview of the political and cultural character of ancient near Eastern peoples from Persia to 
the Mediterranean and from Egypt to Anatolia, from Sumer to Alexander."
HIST 120,Classical Greek and Roman History,3 hours,"An analysis of the early Greeks, their classical and Hellenistic expression, followed by Rome’s 
republic, revolution, empire, and fall; the emergence of the Byzantine east."
HIST 140,US History 1,3 hours,"A survey of United States history from its colonial beginnings to the Civil War, emphasizing 
social and political factors in the development of the country. 
 
167"
HIST 141,US History 2,3 hours,"A survey of United States history from the conclusion of the Civil War to the present, 
emphasizing political and social influences."
HIST 145,American Civil War Experience,3 hours,"An overview of the events leading up to the American Civil War, including the war itself, and 
looking at the conditions of life for soldiers in the war. Examines the political, military, 
constitutional, economic, and social events affiliated with the Civil War."
HIST 150,Modern World History,3 hours,"A survey of world events, issues, and movement from the Renaissance to the present.  Emphasis 
will be placed on both understanding the elements within their own context and considering their 
impact on later periods."
HIST 220,History of Christianity in the Western World,3 hours,"A survey of Christianity from its origins to the present, placed in the context of western 
civilization. Political and social influences receive special attention."
HIST 230,History of the Restoration Movement,3 hours,"A survey of the Restoration Movement identifying the leading thoughts and figures that have 
contributed to this movement. Political, theological, and social influences upon this movement 
will receive special attention."
HIST 350,Researching History & the Social Sciences,3 hours,"A course designed to introduce students of history and the social sciences to the basic skills 
required for academic research, interpretation, and writing. While historical inquiry will be the 
primary discipline used for developing these skills, additional disciplines will also be explored 
with the goal of providing students with a broader range of understanding as to how research and 
interpretation are accomplished."
HIST 381,History Study Tour,1-3 hours,"The experience of travel study to historical destinations organized by specific faculty and 
scholarly guides. Pre-travel reading and post-travel writing projects are assigned. 
 
 
Honors Seminar 
 
168"
LANG 110,Spanish 1,3 hours,"An introduction to the Spanish language providing a foundation for ongoing language learning 
and equipping students with basic knowledge of the language.  Emphasis is placed on basic 
grammar and vocabulary with primary focus on simple conversation."
LANG 111,Spanish 2,3 hours,"A continuation of the study of Spanish language and culture. In addition to working to increase 
understanding of conversation and grammatical structures, students are introduced to short 
reading passages and begin developing writing skills. (Prerequisite: LANG 110 or its equivalent)"
LANG 210,Spanish 3,3 hours,"A course designed to build proficiency in the use of Spanish.  Emphasis is placed on more 
advanced grammar and more meaningful conversation.  (Prerequisite: LANG 111 or its 
equivalent)"
LANG 211,Spanish 4,3 hours,"A course creating an environment in which students communicate in more complex Spanish 
sentences.  Emphasis is also placed on reading comprehension and writing skills.  (Prerequisite:"
LANG 120,French 1,3 hours,"An introduction to the French language providing a foundation for ongoing language learning 
and equipping students with basic knowledge of the language.  Emphasis is placed on basic 
grammar and vocabulary with primary focus on simple conversation. 
169"
LANG 121,French 2,3 hours,"A continuation of the study of French language and culture. In addition to working to increase 
understanding of conversation and grammatical structures, students are introduced to short 
reading passages and begin developing writing skills. (Prerequisite: LANG 120 or its equivalent)"
LANG 220,French 3,3 hours,"A course designed to build proficiency in the use of French.  Emphasis is placed on more 
advanced grammar and more meaningful conversation.  (Prerequisite: LANG 121 or its 
equivalent)"
LANG 221,French 4,3 hours,"A course creating an environment in which students communicate in more complex French 
sentences.  Emphasis is also placed on reading comprehension and writing skills.  (Prerequisite:"
LANG 130,German 1,3 hours,"An introduction to the German language providing a foundation for ongoing language learning 
and equipping students with basic knowledge of the language.  Emphasis is placed on basic 
grammar and vocabulary with primary focus on simple conversation."
LANG 131,German 2,3 hours,"A continuation of the study of German language and culture. In addition to working to increase 
understanding of conversation and grammatical structures, students are introduced to short 
reading passages and begin developing writing skills. (Prerequisite: LANG 130 or its equivalent)"
LANG 230,German 3,3 hours,"A course designed to build proficiency in the use of German.  Emphasis is placed on more 
advanced grammar and more meaningful conversation.  (Prerequisite: LANG 131 or its 
equivalent)"
LANG 231,German 4,3 hours,"A course creating an environment in which students communicate in more complex German 
sentences.  Emphasis is also placed on reading comprehension and writing skills.  (Prerequisite:"
MATH 010,Developmental Math,3 non-credit hours,"Required of those assigned based on test scores. This course is designed to strengthen a student's 
computational skills.  Topics include operations with whole numbers, fractions, decimals, 
percentages, ratios and proportions, and their practical applications. 
 
Prerequisite for all Math courses:  Satisfactory performance on a placement examination 
or successful completion of MATH 010."
MATH 110,Problem Solving and Number Systems,3 hours,"Number systems and their properties; elements of number theory and an algorithmic approach to 
arithmetic operations using integers; data collection and introductory statistics; and probability. 
Emphasis on problem solving."
MATH 120,Geometry and Measurement,3 hours,"Inductive and deductive reasoning; sets; the study of two- and three-dimensional geometry; 
transformations, the coordinate plane; and measurement with standard and nonstandard units."
MATH 130,Mathematics for Business,3 hours,"Coverage of general mathematics as applied in the business environment. Key topics include 
banking, payroll, discounts, markups, taxes, insurance, financial statements, and statistics."
MATH 210,Pre-Calculus,3 hours,"A course covering algebra concepts ranging from polynomial, rational, and exponential functions 
to conic sections and trigonometry concepts such as sines and cosines.  Students will also 
consider some analytic geometry and calculus concepts."
MATH 230,College Algebra,3 hours,"A study of algebraic expressions, equations, inequalities, relations, functions and graphs, 
polynomial and rational functions, systems of linear equations and inequalities, complex 
numbers, and matrices and determinants. A wide range of applications will be included."
MATH 240,Statistics,3 hours,"A study in the application of statistical analysis, hypothesis testing, and regression analysis in 
psychological research and business decision-making. Topics include descriptive statistics, 
171 
 
probability, probability distributions, sampling, and interval estimation. Common statistical 
software will be used to analyze and interpret data.  
 
Philosophy"
PHIL 210,Introduction to Philosophy,3 hours,"An introduction to the topics of truth, knowledge, reality, and ethics, aimed at providing a 
foundation in philosophy for the study of Christian apologetics and theology."
PHIL 220,World Religions,3 hours,"An introductory study in the beliefs and practices of the major contemporary non-Christian 
religions."
PHIL 230,Critical Thinking,3 hours,"A basic introduction to the principles and practice of logic, both deductive and inductive, 
including a survey of informal fallacies, for the purpose of improving communication and 
recognizing valid arguments."
PHIL 240,Political Theories,3 hours,"An introduction to political theories, aimed at providing a foundation in politics for the study of 
justice, law, and civic responsibility."
PHIL 250,Business Ethics,3 hours,"A study of the ethical foundations for sound decision making in management with a focus on 
how managers incorporate ethical values into corporate governance and strategy to benefit all of 
society.  A special emphasis will be placed on biblical ethics and its influence on managerial 
decisions."
PHIL 310,Contemporary Philosophy,3 hours,"This is an advanced philosophy course that will introduce students to 20th and 21st century 
philosophy, with an emphasis on the philosophy of religion, ethics, and culture. The goal is to 
help students develop their own cohesive and functional views of reality within the 
contemporary landscape of secular and Christian thought."
PHIL 340,Survey of World Views,3 hours,"172 
 
An introduction to basic elements of differing world views (perspectives of reality which are 
often taken for granted) discussing the big questions of life from various philosophical 
perspectives. The goal is to help students develop their own cohesive and functional views of 
reality within a Christian learning environment. 
 
 
Pre-Law"
PLAW 100,Introduction to American Government,3 hours,"A course designed to give students an analytical perspective on political science in the United 
States, including both general concepts and specific examples on various levels: national, state, 
and local."
PLAW 200,Introduction to the Legal System,3 hours,"An introduction to the basic concepts and structure of the American Legal System, its historical 
development, and the procedural and substantive elements that contribute to courtroom intrigue. 
(Certificate Course #1 of 4)"
PLAW 210,Introduction to Constitutional Law,3 hours,"An introduction to the basic concepts in American constitutional law, its historical development, 
and techniques of constitutional interpretation and practical application. (Certificate Course #2 of 
4)"
PLAW 330,Business Law,3 hours,"A course spanning the broad realm of the most current law in the areas of contract formation, 
negotiable instruments, sales, leases, warranties, business organizations, creditor/debtor rights, 
employment discrimination, and environmental law. (Certificate Course #3 of 4)"
PLAW 350,Non-Profit Law,3 hours,"A survey course navigating through the varied challenges in operations and government 
compliance experienced by today’s religious institutions, public charities, private foundations, 
and educational, business, and social organizations committed to providing community services 
through a non-profit structure. (Certificate Course #4 of 4) 
 
Science"
NSCI 200,Principles of Scientific Discovery,3 hours,"173 
 
This course is a basic introduction to the history, philosophy and methods of natural 
science.  Special focus is given to the steps of the scientific method and the process by which 
scientists develop and confirm theories. Students also explore what separates scientific inquiry 
from other disciplines such as theology."
NSCI 205,Integrated Science,3 hours,"A study of the techniques and methods that make science unique, with emphasis placed on basic 
principles and their relevance to everyday activities. The scientific method will be emphasized to 
help students differentiate between real science and pseudoscience. Scientific principles will also 
be discussed in the context of the biblical narrative."
NSCI 210,Geology 1,3 hours,"An overview of sedimentary geological materials, processes, and history in the context of nature 
as creation, involving lectures and a field trip to Mammoth Cave and Cumberland Falls 
(required)."
NSCI 211,Geology 2,3 hours,"A study of the work of ice and winds as agents of sculpture on a planet whose crust is affected by 
volcanism, mountains, oceans, metamorphism, ore and mineral genesis, and earthquakes, 
highlighted by a field trip to Lake James and Michigan (required)."
NSCI 215,Dangerous Earth,3 hours,"This course investigates the ways in which the dynamic natural processes of this planet affect our 
society including geologic hazards such as volcanoes, earthquakes, landslides, flooding, and 
coastal erosion. Emphasis will be placed on the geology of northern Kentucky and southwestern 
Ohio, and the ways in which geologic conditions and geologic processes influence our lives."
NSCI 220,Biology,3 hours,"An introductory study in the basics of biology, focusing on human organ systems. Through a 
variety of experiences, students will learn general life processes and how these apply to the 
world in which we live."
NSCI 230,Chemistry,3 hours,"An introductory study of the fundamental principles of general chemistry through lectures and 
labs. Introduction to organic chemistry, food chemistry, and chemistry of household products 
and medications are included. The relationship of chemistry to daily lives is emphasized. 
 
174"
NSCI 240,Physics,3 hours,"An introduction to fundamental principles and processes of the physical world using various 
forms of mathematics.  The course will include discussion of such topics as mechanics, 
gases/liquids/solids, heat, vibrations and waves, light, electricity, and magnetism. 
 
Sociology"
SOCI 110,Introductory Sociology,3 hours,"An overview of significant theories and issues in the study of human social behavior. Special 
attention will be given to ways in which sociological theory may be applied in Christian life and 
ministry."
SOCI 115,Cultural Studies in Public Life,3 hours,"This introductory sociology course provides an overview of the major theoretical perspectives 
and issues in the study of society with an emphasis on a Christian understanding of the field and 
using the sociological perspective to better understand and respond to our world."
SOCI 210,"People, Places, & Cultures of the World",3 hours,"A course designed to get students thinking about the complex and dynamic relationships among 
people, places, and cultures of the world.  The class will address how the Christian self fits 
within the complexities of human relationships (local, national, and international) in order to best 
operationalize the Great Commission.  Other topics include globalization, homogenization, and 
diversification as they apply to the ever-changing landscape of today's world."
SOCI 220,Practical Anthropology and Lab,3 hours,"175 
 
An introduction to the concepts and tools needed to gain a working understanding of other 
cultures: their worldviews, languages, customs, and social structures. The course involves a field 
laboratory in which students will use what they have learned to study specific cultures first hand."
SOCI 230,Dynamics of World Cities,3 hours,"A survey of the world’s largest cities, factors which lead to growing urbanization, and the 
cultural and sociological features of urban environments compared to rural ones."
SOCI 260,Urban Community Development,3 hours,"An interdisciplinary study of the political, societal, economic, and logistical factors that inform 
and influence urban community development in domestic and international contexts.  Attention 
is given to relevant social science theories and their applicability to assessment, planning, 
funding, partnership development, regulatory management, project implementation, and 
sustainability. 
 
 
 
Speech"
SPCH 110,Public Speaking,3 hours,"An introductory public speaking course designed to help students become informed and effective 
communicators and receivers of communication. It provides instruction and practice in research, 
organization of information, logical thinking, persuasion, and oral presentation."
SPCH 220,Advanced Communication,3 hours,"An advanced course concentrating on interpersonal and intercultural communication intended to 
acquaint students with both theory and practice in the varied world of communication among 
individuals of similar and different backgrounds. (Prerequisite: SPCH 110) 
 
 
 
 
Ministry 
 
Practical Ministries 
 
176"
PMIN 010,Spiritual Development,0 hours,Field experiences for all students enrolled in degree programs.
PMIN 110,Introduction to Ministry 1: Calling and Spiritual Formation,3 hours,"This course examines the nature of divine calling and preparation for vocational ministry, with 
special focus upon the examination of one’s personal story, discernment of God’s leading, 
understanding of personal gifts and passions, and development of key formative disciplines of a 
healthy spiritual life."
PMIN 111,Introduction to Ministry 2: Practices of Ministry,3 hours,"This course introduces students to varied basic practices in the life and leadership of vocational 
ministry, with special attention given to underlying foundational principles that inform effective 
spiritual care-giving and leadership within the church. (Prerequisite: PMIN 110)"
PMIN 220,Biblical Preaching and Teaching,3 hours,"An introductory study of the art and science of preparing and delivering Biblical sermons and 
lessons, including discussions of text selection, message construction, and audience analysis.  
(Prerequisite:  SPCH 110)"
PMIN 222,Principles and Practices of Teaching Adults,3 hours,"An in-depth examination of developmental issues for young adults through late middle-aged 
adults, focusing on faith development and its relationships to church, community, and world.  
Appropriate teaching skills will be practiced and a mentoring relationship established.  
(Prerequisite: SPCH 110)"
PMIN 250/PSYC 250,Basic Counseling Skills,3 hours,"This course explores contemporary trends and issues in counseling and explores these concepts 
through case studies and discussion. (Prerequisite: PSYC 150)"
PMIN 310,Leadership,3 hours,"An investigation into developing leadership characteristics and competencies for working with 
paid and volunteer staff in church and parachurch settings.  This course will also address project 
management."
PMIN 325,Biblical Exposition,3 hours,"177 
 
A study of the principles and techniques involved in expository preaching and teaching, with 
attention given to responsible exegesis and exposition of the Biblical text. (Prerequisite:  PMIN 
220.)"
PMIN 330,Women in Ministry,3 hours,"Theological, sociological, psychological and political issues encountered by women in ministry 
will be examined while highlighting examples of biblical, historical, and contemporary women 
of faith. Challenges and opportunities for women will be explored along with discussions 
relating to the personal responsibility required for ministry leadership."
PMIN 336,Teams & the Work Process,3 hours,"The organization of work in the implementation of the strategic plan with work analyzed for how 
human efforts in teams and other small groups of various compositions and other structures can 
effectively bring that work to a quality level of completion as defined by the end-user."
PMIN 340,Church Growth and Planting,3 hours,"A survey of the principles and strategies necessary for planting and growing churches in the U.S. 
and around the world."
PMIN 345,Strategic Planning & Decision Making,3 hours,"A study of the current philosophies and strategies of ministry and non-profit programming. 
Special focus will be given to strategic planning, implementation of technology, volunteer and 
staff development, community outreach, and marketing."
PMIN 355,Preaching and Teaching from the Old Testament,3 hours,"A study of the proper way to responsibly and effectively prepare sermons and lessons from Old 
Testament texts, including instruction on communicating from narrative, poetry, and prophecy.  
(Prerequisite: PMIN 220)"
PMIN 365,Preaching and Teaching from the New Testament,3 hours,"A study of the proper ways to responsibly and effectively prepare sermons and lessons from New 
Testament texts, including instruction on communicating from narrative, epistle and apocalyptic 
literature. (Prerequisite: PMIN 220)"
PMIN 370,Personal and Church Finance,3 hours,"An examination of the principles and methods of sound personal and church financial 
management, giving special attention to the effective organization of the minister’s personal 
finances as well as effective administration of the fiscal responsibilities of the local church."
PMIN 375,Advanced Preaching: Styles of Preaching,3 hours,"An historical and practical survey of trends in communication styles in church settings, also 
giving attention to devotional, evangelistic, life-situation, and special-occasion messages. 
(Prerequisite: PMIN 220)"
PMIN 395,Ministry Internship,3 or 9 hours,"A field experience available in summer and school year formats focusing on functioning as a 
staff member of a church or church agency. The internship involves a pre-internship seminar and 
post-internship evaluations.  Internships can be in the areas of Preaching, General, 
Youth/Children’s, Worship, or Urban and Inter-cultural ministries, depending on the student’s 
field of study."
PMIN 410,Contemporary Issues in Leadership,3 hours,"A capstone study of the major issues facing organizational leaders with an emphasis on the 
challenges facing the contemporary church and the leadership strategies needed to respond to 
these challenges."
PMIN 420,Case Studies & Problem Solving,3 hours,"179 
 
A consideration of various challenges encountered by the vocational minister, including 
discussion of personality types, conflict styles and resolution, problem people, ministerial ethics, 
family and personal health, etc. This course includes extensive use of case studies, including 
situations from students’ actual internship experience within their assigned Teaching Churches. 
(Prerequisite: PMIN 111 or PMIN 230)"
PMIN 442,Principles and Practices of Teaching Adults,3 hours,"An in-depth examination of developmental issues for young adults through late middle-aged 
adults, focusing on faith development and its relationships to church, community, and world. 
Appropriate teaching skills will be practiced and a mentoring relationship established. 
(Prerequisite: SPCH 110) 
 
PMIN/BUSN 450 Leading Change (3 hours) 
A study of the forces that drive organizations to change. The course examines resistance to 
change, and investigates a range of approaches and theories for implementing successful change 
efforts in organizations."
PMIN 494,Teaching Church Ministry Internship 1,4.5 hours,"PMIN 495 Teaching Church Ministry Internship 2 (4.5 hours) 
  
 
Urban & Intercultural"
UICS 110,Introduction to Urban and Intercultural Ministry,3 hours,"A hands-on introduction of the essential principles, practices, and philosophies that comprise 
effective urban and intercultural ministry.  Attention is given to the biblical rationale for urban 
and intercultural ministry, missional organizations and their ministry models, and the student’s 
personal philosophy of ministry. This course includes mandatory field trips."
UICS 260/YMIN 260,Global and Urban/Intercultural Youth Ministry,3 hours,"Provides an overview of the challenges global youth are facing and how the church must respond 
to meet their holistic needs. Careful attention will be done to looking how youth ministry is done 
in the city and throughout the world. This will be done through readings, road trips, analysis, 
group discussion, and lecture. (Youth Ministry degree requirement)"
UICS 330,Preparing for Intercultural Ministry,3 hours,"A study of the personal and practical details involved in going to and working in a cross- cultural 
setting, including selecting a field, raising support, being accountable, learning another culture, 
and maintaining relationships, with application to a specific unreached people group of the 
student’s choice."
UICS 341,Urban Ministries Seminar,3 hours,"A seminar course in which students do guided reading, discussion, and application in areas 
related to urban ministry with part of the time spent in class and the rest in local urban-ministry 
experiences."
UICS 346,Urban/Intercultural Field Study,3 hours,"A supervised field experience in the United States or overseas observing urban or cross- cultural 
ministry in action. Mandatory pre- and post-field orientations, independent readings and reports 
help the student reflect upon and assimilate lessons from this experience."
UICS 350,Non-Profit Leadership,3 hours,"A survey of the knowledge, skills, and behaviors essential to effective leadership of a nonprofit 
organization.  Attention will be given to the social space in which nonprofits exist and operate, 
the stages of development, and the challenges and opportunities that emerge from the unique 
legal, regulatory, financial, and managerial obligations of a nonprofit organization."
UICS 351,Historical Perspectives on the Church’s Global Mission,3 hours,"A survey of the mission work of the church from Paul’s journeys to today including the dates, 
events, people, and policies at major milestones, studied in a way that helps the student 
understand and formulate present-day strategies."
UICS 355,Business as Mission,3 hours,"An introduction to business as mission (BAM), a holistic combination of social entrepreneurship, 
business operations, and evangelism. Students will learn the history and biblical rational for 
181 
 
BAM. Economic, spiritual, social and environmental outcomes and strategies to achieve 
outcomes in those areas will be explored, considering both urban and cross-cultural contexts."
UICS 362,Cross-Cultural Evangelism and Discipleship,3 hours,"A study of the factors, which affect evangelistic outreach and discipling efforts in cross- cultural 
settings including development of a plan for reaching and discipling a particular people group."
UICS 365,Urban & Intercultural Seminar,3 hours,"UICS 373 Spiritual Warfare 
This course provides the student with an introduction to key issues surrounding spiritual warfare: 
“For our struggle is not against flesh and blood, but against the rulers, against the authorities, 
against the powers of this dark world and against the spiritual forces of evil in the heavenly 
realms” (Ephesians 6:12 NIV). This course is interactive and built on generating and guiding 
proper exegetical discussion."
UICS 375,Cross-Cultural Leadership Development,3 hours,"This course presents students with an overview of the Biblical foundations, cultural 
considerations, and delivery options required to develop and provide appropriate levels of 
leadership training in cross-cultural settings."
UICS 380,Living Cross Culturally,3 hours,"This class will examine themes regarding cross-cultural living for missionaries and missionary 
families. Attention will be given to topics such as family issues and health, third culture kids, 
single missionaries, and urban workers. (Prerequisite: UICS 330)"
UICS 390,BLOC Immersive Field Experience 1,2 hours,UICS 391 BLOC Immersive Field Experience 2 (2 hours)
UICS 392,BLOC Immersive Field Experience 3,2 hours,UICS 393 BLOC Immersive Filed Experience 4 (3 hours)
UICS 455,Seminar in Mission Theology,3 hours,"A seminar designed to help students develop a vision for holistic ministry rooted in a biblically 
sound theology of mission. Students will demonstrate foundational skills to equip and empower 
indigenous Christian communities to interpret and apply the Bible in their cultural contexts. 
(Prerequisites: BSEG 100, HIST 230, SOCI 220, DOCT 210) 
182 
 
 
 
Youth & Children’s Ministry"
YMIN 201,Christian Education for Adolescents,3 hours,"An in-depth examination of the theory of teaching youth (ages 11-18) with the study and practice 
of educational methods designed to “make learning happen” within the adolescent environment. 
 
YMIN/UICS 260 Global and Urban/Intercultural Youth Ministry (3 hours) 
Provides an overview of the challenges global youth are facing and how the church must respond 
to meet their holistic needs. Careful attention will be done to looking how youth ministry is done 
in the city and throughout the world. This will be done through readings, road trips, analysis, 
group discussion, and lecture. (Youth Ministry degree requirement.)"
YMIN 301,Methods of Ministry with Children and Adolescents,3 hours,"An analysis of the fundamental components needed to find, design, begin, and build a ministry 
with children and adolescents. An emphasis is placed on the challenges faced, the relationships 
developed, and the organizational skills needed for these ministries."
CMIN 201,Principles and Practices of Teaching Children,3 hours,"An examination of developmental issues for preschool and elementary children (birth to eleven), 
focusing on faith development and its relationship to family, church, community, and the world. 
Additionally, participants will explore the practical components of teaching including the 
implementation of teaching strategies and techniques specifically targeted for the child. Field 
experience is required."
CMIN 301,Children’s Ministry Organization and Planning,3 hours,"A study of the fundamental components needed to find, design, begin and sustain a children' 
ministry. An emphasis is placed on specific issues unique to developing a ministry to children 
and their families."
CEMN 110,Foundations of Education,3 hours,"An overview of education as it applies specifically to instructing and nurturing people of all ages 
in the church."
CEMN 210,Ministry to Families,3 hours,"183 
 
An examination of the family ministry model as a strategy for strengthening families through 
biblical and practical methods, focusing on ways to create community, empower parents and to 
understand, support and minister to diverse types of families. 
 
 
 
Music and Worship 
 
MUAP Applied Music Studies | Performance Techniques 
The heart of any music degree program is applied music studies, where a student takes private 
lessons from an experienced instructor. All degree graduates will have some experience in voice, 
piano and guitar. Beyond that, all are welcomed to refine their musical skills through individual 
application in particular specialties. A student’s specialty might be a single genre (e.g., voice, 
guitar, piano, composition, etc.), or might be a combination of skills unique to the goals of that 
student (e.g., singer/songwriter who is a guitarist and creates music videos). No audit status is 
permitted. There is no refund of instruction fee after classes begin. Students enrolled in applied 
lessons on a degree program level are required to attend the Music Convocation twice a month, 
and to perform before peers as often as required. Evaluation of progress happens weekly and in 
writing from both the private instructor and the master teacher."
MUAP 100,Music Convocation,0 hours,"A weekly meeting of all students who are in a music degree program, whether minors or majors.  
One objective of the convocations is to provide opportunity for all applied students to have 
public performance in a master class format.  The convocation is considered to be a group 
applied lesson.  Other objectives of the convocation are to keep communication lines open, to 
provide training from local practitioners, and to provide a corporate worship experience."
MUAP 390,Worship Event,0 hours,"MUAP 490 Senior Project (0 hours) 
185 
 
 
 
MUCO Conducting | Performance Leadership 
An essential part of the preparation of any musician is to be able to lead and guide a 
collaborative group of musicians with clarity and musicality. Leadership skills include 
traditional groupings and historically established conducting methods, but also focus on 
rehearsal techniques for informal contemporary groups."
MUCO 310,Music Team Leadership,3 hours,"A practical course in the organization and techniques of effective team rehearsals and 
performances. This course will develop musical ear and up-front leadership skills to efficiently 
and effectively accomplish the desired musical, artistic, spiritual and communal outcomes. 
Through tested and trending models students will be equipped with practical solutions to lead 
artists in various genres and to correct common musical issues. (Prerequisite:  MUTH 110) 
 
 
 
MUED Music Education | Pedagogy 
CCU offerings in music education help to prepare our graduates to teach others in turn to 
become excellent musicians. Our graduates have been trained in best practices to coach 
volunteer team members, or teach applied music lessons, including how to establish a private 
teaching studio."
MUED 150,Sustainable Music Initiatives,1-3 hours,"This course will guide students through wide-ranging discussions on topics 
including the realities of the music business as it currently exists, new opportunities 
that have emerged in recent years, financial concerns within the industries at large, 
creating new and innovative programming, audience building, and the business tools 
necessary to finance a career in the arts. Students will explore the classical, jazz, and 
contemporary music businesses, as well as genre-bending music and well-known 
musician-entrepreneurs."
MUED 250,Music Pedagogy,3 hours,"A general survey of the materials and methods of music teaching. Students will receive 
specialized training and assignments in their chosen area of voice, guitar, piano, percussion, or 
other instrument. A survey of methods for teaching proper development of technique and of 
resources will be covered. Includes best practices of entrepreneurial enterprise, of setting up a 
studio, of advertising and outreach, and of recruiting and releasing students, of public 
186 
 
performance and monitoring student preparation. Also incorporates current trends in use of 
technology in teaching, and a detailed study of health and safety issues for the music 
professional. Field experience will include actual teaching as well as interviewing and observing 
teachers in student’s area of specialization. Prerequisite: two semesters of applied study (beyond 
Freshman methods classes) and instructor approval. 
 
 
MUEN Music Ensembles | Collaborative Performance 
Certain aspects of musicianship are best learned in a collaborative environment, and a variety of 
types and sizes of ensembles will provide more opportunities for new learning. The BSM&W 
requires a minimum number of semesters of large ensembles, as well as specialized ensembles 
and a worship ensemble. These groups are also open to the campus as a whole, where non-
majors are able to enrich their lives with musical participation. 
 
Students enrolled in ensembles may be required to purchase an outfit as specified in the course 
plan."
MUEN 110,Worship Ensemble,2 hours/year,"Worship Ensemble is a select small ensemble made up of music & worship students, plus others 
by audition and need. The ensemble focuses on a wide variety of global repertoire, but all is 
centered on expression of Christian worship. Some public performances or worship events may 
be held, at the discretion of the director. (Prerequisite: acceptance as a degree student in music & 
worship, or special permission from the director) 
 
 
187"
MUEN 210,Vocal Ensemble,1 hour,"Concert Choir is a select mixed choir. Literature and performances vary from year to year to 
include the following types of experiences: seasonal concerts, conferences, major choral works, 
musicals, and a spring tour. (Prerequisites: audition and approval of director)"
MUEN 220,Mixed Instrumental Ensemble,1 hour,"As a select mixed instrumental ensemble, the repertoire for the group varies widely, based on the 
makeup and needs of the group of musicians. (Prerequisite: acceptance as an instrumental 
applied major or special permission from the director)"
MUEN 230,Creative Media Collective,2 hours/year,"A non-traditional music ensemble focused on using technology arts in worship. This group exists 
to generate creative media that aims to facilitate worship. “Creative Media"" would include but is 
not limited to graphics, video, and audio. Each semester's project is at the discretion of the 
director. (Prerequisite: MUEN 110 and MUTC 110 or special permission from the director.) 
 
MUFE Field Experience | Practical Internship  
The BSM&W requires field experience under the supervision of a practitioner. The reason for 
this requirement is that some things cannot be taught in a college classroom, but must be 
experienced in the real world. We partner with several local churches and schools to help 
provide intentional mentoring under professionals in the field."
MUFE 300,Supervised Field Experience,0 hours,"A field experience in music ministry, under the supervision of the Director of Service Learning 
and an approved field mentor. Prior approval must be granted and the student must register in 
advance to receive credit. Christian Service hours may be used for this requirement. 
(Prerequisite: junior level standing with 60 credit hours)"
MUFE 390,Worship Leadership Internship,1-5 hours/term,"A field experience in music ministry, under the supervision of the Director of Service Learning, 
a music faculty representative and a full- time music or worship minister serving as field mentor. 
(Prerequisite: junior level standing with 60 credit hours). May be repeated. 
  
 
MUHI Music History and Literature | Musicology  
All music students at CCU receive significant exposure to contemporary musical literature for 
worship, as well as traditional music presented within its historical and cultural context, 
including non-western cultures. Musicological studies cover standard classical literature, but all 
courses are slanted toward music that would be useful in the church. 
188"
MUHI 110,Music in World Cultures,3 hours,"An introduction to ethnodoxology—worship music of many cultures, including the history, 
styles, and composers of Western (European and American) music, as well as an overview of 
music from Africa, Asia, and Latin America. The course is designed to teach an awareness of 
aesthetic value in music, and tools for listening to music effectively, as well as an approach to 
appreciate a culture through experiencing the art (especially the music) of that culture. The 
course fulfills Humanities electives for any students, and is required for all tracks in the worship 
leadership degree."
MUHI 310,Music History Survey,3 hours,"A survey of the music of Western culture, exploring the development of Western music in depth 
through biography, history, and analysis with an emphasis on selective listening. (Prerequisite:"
