code,name,credit,description
GES 133,ESL Intermediate Reading,2-4,Limited Reading strategies to understand the organization of a text and its content. Focuses on increasing reading speed.
GES 134,ESL Intermediate Writing Workshop,1-4,"Limited Focuses on the organization of writing at the sentence and paragraph level. Students learn to write topic sentences 
and develop each topic within a paragraph through clear explanations and examples. Emphasizes effective use of 
transition words. 
 
 
 
 
COURSE DESCRIPTIONS 
  
Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
263"
GES 135,ESL Intermediate Listening and Speaking,1-4,"Limited Focuses on developing each student’s ability to communicate fluently and accurately by integrating listening, speaking 
and pronunciation practice. Specific listening and speaking strategies that focus on the American culture as well as the 
expectations and requirements of the American classroom will be studied and practiced."
GES 136,ESL Intermediate Projects,3,"Limited Students complete projects such as surveys, newsletters, and a group presentation, and participate in culture field 
trips with opportunities to interact and communicate with Americans in the Spring Arbor/Jackson community."
GES 137,ESL Current Issues in American Culture,3,"Limited Provides the opportunity to learn modern, idiomatic English, especially as used in U.S. journalism, to fully understand 
current events and issues in American culture. Focuses on the five major social institutions as expressed in American 
culture. Exposes students to the cultural elements by which those institutions are articulated such as art, movies, 
sports, and leisure activities."
GES 140,ESL Advanced Topics,1-3,Limited Offers a variety of advanced topics allowing students to focus on a particular area. Topics vary by semester.
GES 141,ESL Advanced Foundations II,3,"Limited Integrated skills English course, focusing on reading, writing, listening/speaking, grammar, expository writing, critical 
analysis, focused listening, note taking, and the analyzation of academic texts."
GES 142,ESL Writer’s Workshop,1-4,"Limited Focuses on the organization and development of Western-style academic writing. Students practice writing 
referenced research papers, as well as personal essays. Grammatical structures will be analyzed and practiced."
GES 146,ESL Current Issues in the Global Village,3,"Limited Provides the opportunity to learn modern, idiomatic English as used in U.S. journalism to understand global current 
events and issues more fully from a North American perspective. Students research and articulate their own 
government’s position on specific issues and present those findings through written and spoken methods. 
 
GRE (Greek)"
GRE 331,Elementary New Testament Greek I,3,"Even Falls The elements of New Testament Greek including vocabulary, conjugations, declensions, significance of tenses, cases, 
moods, translations, written compositions, and selected readings in the New Testament."
GRE 332,Elementary New Testament Greek II,3,"Odd Springs Continuation of
GRE 431 Intermediate Greek I. 
Prerequisite: GRE 431 Intermediate Greek I. "

HEB 331, Elementary Biblical Hebrew I,3,"Odd Falls An introduction to the study of biblical Hebrew including grammatical structure, vocabulary acquisition, and its 
application to the Hebrew Scriptures. Introduces appropriate study tools to facilitate reading and exegesis. "
HEB 332,Elementary Biblical Hebrew II,3,Even Springs Continuation of
HEB 331,"Elementary Biblical Hebrew I. Includes translation from the Massoretic Text using simpler 
narrative passages.  
Prerequisite: HEB 331 Elementary Biblical Hebrew I. 
 
HEB 431 Intermediate Biblical Hebrew",3,"Limited Advanced work in grammar, syntax, and translation of selected passages in the Massoretic Text. 
Prerequisite:
HPR 178 Aerobic Activities and HPR 179 Strength and Power Training 
 "
HES 335," Facilities Planning and Operations for Health, Fitness, Recreation and Sports ",3,  See REC 335.  

HES 345, Principles of Exercise Prescription,2,"Fall, Spring Presents the essential components of systematic, individualized exercise prescriptions for healthy and special 
populations. Addresses appropriate pre-exercise screening, health-risk stratification, and principles of prescription 
including modes, intensity, duration, frequency, and progression of exercise following American College of Sports 
Medicine guidelines. ""C"" or better required for departmental majors. 
Prerequisite: ""C"" or better in HPR 153 Foundations of Physical Fitness, Health and Wellness. "
HES 351,Statistics,3,"Fall Introduces statistics with an interdisciplinary perspective using examples, problems, and applications from health 
sciences. Covers descriptive and inferential statistics. Emphasis on problem-solving through collection, organization, 
analysis, and interpretation of data. Lab activities and computer applications. ""C"" or better for departmental majors."
HES 365,Introduction to Pharmacology, 3,See BIO 365.  

HES 381,Nutrition and Energy Metabolism,3,"Spring A study of nutrients and their role in health and fitness with an emphasis on nutrition knowledge and 
application for optimal performance. Particular attention is given to body composition, energy balance, and fuel for 
aerobic/anaerobic metabolism. A computerized diet analysis and meal preparation are required. ""C"" or better 
required for departmental majors. 
Prerequisites: declared HPR major, minor, or institutional endorsement, sophomore standing."
HES 382,Functional Anatomy and Application,3,"Fall, Spring An in-depth study on the functional aspects of anatomy including muscle origin and insertions, joints, joint movement, 
gait, and muscle function. Introduces the prevention, evaluation, and treatment of athletic-related injuries, and other 
related concepts/theories. ""C"" or better required for departmental majors. 
Prerequisites:"
HES 462,Cardiovascular Function and Electrophysiology,3,"Fall An in-depth study of circulation, heart structure and function, cardiovascular training responses, and heart disease. 
Includes instruction in EKG interpretation and experience and EKG metabolic cart graded exercise testing. Addresses 
cardiovascular medications and diagnostic procedures. ""C"" or better required for departmental majors. 
Prerequisites:
HES 474 Physiology of Exercise. ""C"" or better required for departmental majors. 
Prerequisites: BIO 264 Anatomy and Physiology I, and junior standing.  
 "
HES 480, Senior Seminar,1,"Fall A seminar course intended as a capstone with emphasis on career and professional development skills and activities 
as preparation for graduate programs or employment in health, human performance, and recreation related fields. 
Cross listed"
HIS 121,History of Civilization I,3,"Fall Study of the rise and development of civilization throughout the world. Emphasizes the origins of Western civilization 
in the river valleys of Egypt and Mesopotamia, its development in Greece and Rome, and its flowering during the 
Middle Ages. Attention given to the civilizations of South and East Asia, Africa, and the Americas and their 
contributions to world civilization. Concludes with the voyages of European discovery, which brought the isolated 
civilizations of the world into direct contact with each other. Explores Christian interpretations of world history."
HIS 122,History of Civilization II,3,Spring A continuation of
HIS 141,United States to 1877,3,"Fall, Sites, Online Study of American history from colonial times through the Civil War and Reconstruction. Emphasizes fundamental 
forces or cultural ideals that have shaped this period of history, such as Puritanism, the Enlightenment, the 
COURSE DESCRIPTIONS 
 
 
Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
266 
 
 
Revolution, antebellum Evangelicalism, and the struggle over slavery. A multidisciplinary approach will be taken, as 
well as efforts to develop Christian insights concerning the unfolding of American history."
HIS 142,United States Since 1877,3,"Spring, Sites, Online Introduces cultural ideals and forces that have helped shape modern America, such as industrialization, progressivism, 
the battle between science and religion, the two world wars, the Great Depression, the New Deal and Great Society, 
the spirits unleashed in the 1960s, and the culture wars of the 1990s. A multidisciplinary framework is used, as well as 
efforts to develop Christian insights so that students will be better able to make sense out of modern life."
HIS 221,Black Experience in America,3,"Even Falls Focuses on the experience of being black in America, analyzed from historical, sociological, and artistic perspectives."
HIS 230,Contemporary World Affairs,3,Even Falls See
HIS 236,"Christianity and Politics (3) 
See POL 236. 
 
HIS 302 Nineteenth Century Europe",3,"Odd Falls Examination of political, social, and ideological developments in Europe during the ""long peace"" from 1815 to 1914. 
Emphasizes the growth, development, and changes in ideologies of conservatism, liberalism, socialism, and 
nationalism. Students develop discernment in the study of primary sources and variety of historical interpretations."
HIS 303,Twentieth Century Europe,3,"Even Springs Covers events and developments in Europe from the outbreak World War I to the present. Explores the challenge to 
democratic thought and institutions posed by communism and fascism, as well as the collapse of the communist 
system since 1989. Examines the decline of Europe as the center of world power and the development of a post-
imperial culture. Students are encouraged to develop discernment in the study of primary sources."
HIS 304,Geography and History of Russia and the Former Soviet Union,3,"Even Falls Covers the physical and political geography of Russia and the independent states of the former Soviet Union, a region 
of enormous influence on the world stage. Emphasizes the historical development of the Russian state, the creation of 
communist ideology, the Soviet Union, and collapse of both ideology and the Union. Cross listed"
HIS 306,The Makings of Modern Europe,4,"Even Falls Seminar course. Covers the major stations and creation of modern Europe from the end of the Roman Empire through 
the Enlightenment. Emphasizes the major institutions shaping modern European society: Christendom, the idea of 
Rome, the creation of nobility and social classes, the development of Western thought, and the exploration and 
expansion of European influence on the outside world."
HIS 307,"Colonial America, 1492-1760",3,"Limited Examination of the American colonies from their founding by European powers to the expulsion of the French by the 
British at the conclusion of the French and Indian War. Concentration on the clash of various cultural ideals—both 
Native American and European—as well as the religious bases of many movements and colonies. Students compare 
and contrast various movements in light of their own maturing perspectives and to show connections between the 
colonial past and present conditions."
HIS 308,The American Revolution,3,"Limited Examines this crucial period in the formation of a new nation and the clash of cultural ideals between British and 
colonial leaders. Explores both sides and reflects upon the fate of communities such as native Americans, loyalists, 
and other minorities. Evaluates strengths and weaknesses of revolutionary ideals in light of subsequent history."
HIS 309,Civil War and Reconstruction,3,"Odd Falls Examines the forces leading up to the Civil War, the major battles, and the difficulties of reuniting a country torn apart 
by major conflict. Special emphasis placed on causative factors such as slavery, comparing and contrasting the 
 
strengths and weaknesses of both sides, as well as the various reconstruction plans and realities. Students will be 
encouraged to see all sides of this conflict, as well as reflecting on the impact the war has had on subsequent history."
HIS 310,Twentieth Century America,3,"Even Springs Examines the dominant cultural ideals that shaped American history in the 20th Century. Emphasis placed on the clash 
of secular and religious themes in the making of America – a struggle continuing to the present. Students compare 
and contrast these movements and themes to formulate perspectives on directions to take in the 21st century."
HIS 313,America in the 1960s,3,"Even Interims In-depth examination of the tumultuous 1960s that brought many changes into American culture—political, social, 
economic, cultural, and religious. Introduces insights from various Christian communities regarding this decade. Cross 
listed"
HIS 331,"China, India, Japan",3,"Online Asia’s lands and peoples, with special emphasis on China, India, and Japan. Includes historical, political, cultural, and 
economic insights within a geographical context. Cross listed"
HIS 332,Africa,3,"Online The African continent: the natural environment, the people and their customs, the discovery and opening of the 
country by explorers and missionaries, the partition of Africa, and the present political and economic trends. Cross 
listed"
HIS 333,Latin America,3,"Limited Latin America from the beginning of the colonial period to the present. Introduces the history and culture in a 
geographical setting and Latin American relations with the rest of the world. Cross listed"
HIS 334,The Middle East,3,"Odd Springs An interdisciplinary survey of the lands, history, and political dynamics of Southwest Asia, commonly known as the 
Middle East, and North Africa. Includes elements of the topography and cultural landscape, a survey of the history 
since 7th Century Muslim conquest, and discussions of current political issues. Cross listed
GEO 334 and POL 334. "

HIS 335,East Asia,3,"Even Springs Examines the three largest cultures in East Asia, China, India, and Korea. Includes a survey of the interplay between 
these three cultures over the past millennia. Special emphasis is on the 20th and 21st century and the connections 
between the military, communist, and capitalist ideologies that led to the most destructive era in the history of the 
region and the dramatic restoration of Asian economic power in the world. Cross listed
GEO 335 and POL 335. "
 
HIS 340, Women in American History,3,"Limited Designed to disclose the significant achievements of women in major fields of endeavor, and surveys voluminous 
literature that is available. The long struggle of American women to cast off the image of ""the weaker sex"" in an effort 
to have their roles recognized is a study that promises to contribute significantly to contemporary reform decisions."
HIS 342,Hebrew History and Geography ,3, See BIB 342. 

HIS 343,History of Christianity ,3,See REL 343. 

HIS 346, History of Christianity in America ,3, See REL 346.  

HIS 361, Michigan History ,3,"Spring Online Examines Michigan history within its geographic context at the heart of the Great Lakes region, the settlement of the 
state, the variety of peoples that make up the area, and the political, social, and cultural institutions of the state. 
Emphasizes Michigan’s role in the economy of North America, and history of the state’s use of resources."  

HIS 368,Diplomatic History,3,"Odd Falls A chronological and conceptual journey through the maze of relations between the U.S. and other states during the 
past 230 years. Assumes students understand the broad outlines of U.S. history and have interest in U.S. relations 
with other nation states. Explores the changing dynamics of extra-territorial relations as the U.S. expands across the 
continent and extends its influence around the world. Focuses on the interaction of non-state actors with national 
policy and the foreign policy challenges of the 21st century. Cross listed"
HIS 382,International Human Rights,3, See SOC 382.  

HIS 403, History of Biblical Interpretation and Criticism: 1750-1950,3,"Odd Springs A study of the intellectual currents of the modern era and how those were reinterpreted through study of the Old and 
New Testaments. Examines the initial challenges to traditional scripture by Reimarus and Michaelis through the 
Second Quest of Bultmann, Kaesemann and others. Focuses on the cultural developments of the Enlightenment, 
nationalism, radicalism, romanticism, realism, and the cult of science. Cross listed"
HIS 478,Senior History Seminar,3,"Fall In this course, students delve into one topic of historiographical importance to introduce methods and philosophies of 
interpretation. Students learn to navigate the differing opinions of historians and to evaluate their use of historical 
knowledge to create persuasive historical narratives. Students will write a historiographical paper that will serve as an 
introduction to their final capstone research paper in
HIS 480 Philosophy of History.  
Prerequisite: junior standing. 
"
HIS 480, Philosophy of History,3,"Spring A seminar course. Examines the primary secular and religious philosophies of history, as well as the methods of 
historical logic, research, and writing. A research paper which delivered to the class as a formal presentation is 
required. It is recommended that students take"
HON 310,Great Books of World Literature,3,"Spring Delves into the history of western literature, beginning with the Greeks, moving to the Romans, to the Medieval era, 
and into the works of Renaissance authors. Explores the interrelation between form and content, the development of 
generic characteristics, and the formation of Christian imagination in these periods. Introduces works such as the 
Odyssey, the Oresteia, Medea, Antigone, the Aeneid, Beowulf, Sir Gawain and the Green Knight, the Divine Comedy, 
Paradise Lost, and Shakespeare selections. Emphasizes the practice the craft of close reading."
HON 317,Great Books of Philosophy,3,"Fall Introduces logic, philosophy of science, and traditional and contemporary answers to the problems of knowledge, 
reality, and morality through various primary source readings ranging from the pre-Socratics to Derrida."
HON 327,Great Books of American History,3,"Spring Provides an overview of North American History from the period surrounding European settlement to the present. 
Includes topics of European and Native American relations, the development of slavery, the American Revolution, and 
the Civil War, as well as the Progressive and New Deal eras, the World Wars, the Cold War, 1960s radicalism, and the 
rise of modern conservativism. Sources will range from Puritan sermons, Common Sense, and The Federalist Papers, 
to slave and feminist writings, presidential speeches, and civil rights treatises."
HON 330,Great Books and the New Testament,3,"Fall A survey of all 27 books of the New Testament and their cultural impact. Exams the books in their 1st century context, 
the history of interpretation of the New Testament, and the Wirkungsgeschichte (German for ""history of the 
influence"") of the New Testament. Special attention given to significant interpreters of the New Testament 
throughout history, such as Augustine and Luther, and to the role the New Testament has played in doctrinal debates, 
the formation of ethical systems, spiritual formation, and artistic productions."
HON 334,Great Books of Christian Tradition,3,"Spring Explores biblical and Christian literature as influences of the faith and practices of various Christian traditions and 
communities, primarily within Western culture. Introduces the rich resources of Scripture and Christian tradition for 
practiced personal faith and life in the modern world. Emphasizes developing a prayerful and living biblical theology 
and examines pairs of matching texts (spiritual and literary classics) to explore themes of faith and practice."
HON 490,Senior Honors Project ,0-3, "
Students in the honors program will register for this course in the semester they complete their honors project. If 
students register for a 490 course within their major or use a project within a different upper-level major course with 
instructor and honors program director approval, they must register for HON 490 for 0 credit hours." "
"
HPR 101, Personal Fitness and Wellness,2,"Fall Interim Spring Covers health-related fitness and the relationship between lifestyle, individual fitness level and chronic disease risk. 
Emphasis is given to cardiovascular health, nutrition and weight management, and stress reduction."
HPR 151,"Introduction to Health, Human Performance, and Recreation",3,"Fall Explores the historical and philosophical bases of the physical education profession and examines social and 
educational trends impacting career options in exercise and sport. Majors should take"
HPR 163,Introduction to Sports Management,3,"Fall, Spring Explores important aspects of sports management and entertainment including current business-related topics of 
amateur and professional sports and the analysis of management and leadership skills. Topics include marketing 
strategies, advertising contracts, modes of communication, and revenue via radio, TV, and other digital means. 
Examines cost analysis related to sports teams and the role of the sports agent."
HPR 281,Nutrition and Exercise,2,"Sites Examines the nature and benefits of physical fitness in the adult years as well as nutrients and their role in maintaining 
optimal health and preventing disease. Emphasis is given to body composition, obesity, and energy balance, with 
attention to the scientific basis for modification of eating and exercise behaviors. 
 
IBS (International Business)"
IBS 223,Biblical Foundation of International Business,3,"Even Interims A survey course with a biblical foundation. Integrates business and Christian principles for students exploring a career 
that applies business skills and talents to advance God’s kingdom. Examples from Scripture and global economy."
IBS 305,Principles of International Business,3,"Spring Explores key aspects of contemporary international business. Includes topics of international trade theory, trading 
patterns, foreign exchange rates and markets, strategic alliances, direct foreign investments, regional business issues, 
cultural, political and economic influences, and management practices. May include special topics in diversity and 
legal issues in international business, international marketing, and international finance."
IBS 385,Practicum,3,"Fall, Spring, Summer Completed in an organization with a global emphasis. Taken summer of the junior year or in the senior year. 
 
MAT (Mathematics)"
MAT 100,Introductory Algebra,3,"Fall Properties and operations of the real number system; word problems involving integers, fractions, or decimals 
including percentages, ratios, and proportions; graphical representations of equations including tables and charts, 
one-and two-variable equations, and inequalities; word problems involving one and two variables; operation and 
properties of algebraic expressions and polynomials; problems involving geometric figures. Does not count toward 
General Education mathematics pathway MAT 112,Precalculus or high school precalculus with at least a ""B"". "

MAT 202, Calculus II,4,"Spring Differentiation and integration of functions defined by parametric equations including polar coordinates, and 
applications of the calculus in the physical and social sciences. Sequences and series including Taylor’s formula and 
tests of convergence for sequences and series and determine the sum of an infinite series if it exists. Solve simple first 
order differential equations.  
Prerequisite: ""C"" or better In
MAT 321 Abstract Algebra I. "
 
MAT 330, Foundations of School Mathematics I,3,"Fall Fundamental concepts of mathematics for prospective teachers of grades K-8. Topics include strands I, IV and V from 
Michigan Curriculum Framework: patterns, relationships and structures, number sense and numeration, numerical 
and algebraic operations, and analytical thinking. Does not count toward mathematics major or minor. ""B-"" required 
for education majors. 
Prerequisite:"
MAT 351,Statistics,3,"Spring Descriptive and inferential statistics including z- and t-tests for means and proportions, Chi-Square, ANOVA and 
regression. Topics from probability: sample space, events, additive rules, conditional probability, multiplicative rules, 
Bayes’ rule, random variables, discrete and continuous probability distributions, expected value, and Chebyshev’s 
theorem.  
Prerequisite: MAT 363, Theory of Probability I."

MAT 401, Real Analysis,3,"Even Springs A rigorous treatment of the calculus of functions of one real variable. Formal proofs are given for the familiar 
theorems dealing with limits, continuity, differentiation, integration, sequences, and series. Special topics may include 
vector analysis, gamma functions, and Fourier analysis.  
Prerequisite:"
MHS 342,Health Care Systems,3,"Online, Limited Examines delivery and evaluation of health care in a variety of structures, such as inpatient and outpatient facilities, 
long term care, and managed care utilizing a systems approach. Focus on the health care professional and basic health 
care components of health promotion, psychological wellness, and health services for special populations."
MHS 431,Administration of Health Care Systems,3,"Online, Limited Focuses on the mission, values, and goals of health care organizations and the role of the health care manager within 
administration and human resources. Topics include managing the health care workforce, team building, recruiting 
and retention of workers, and patients’ rights and ethics faced in today’s health care environment."
MHS 433,Health Care Systems Leadership,3,"Online, Limited Topics include leadership and motivational theory as well as discovering and maximizing various leadership styles. 
Vision-casting and motivational theory are applied to both individual and group situations. 
 
MIS (Management Information Systems)"
MIS 301,Information Technology Management,3,"Limited Introduction of organizations as systems, managerial decision-making processes, and the role of information 
technology and systems supporting management and operations.  
Prerequisites:"
MKT 207,"Advertising (3) 
See APR 207. 
 
MKT 221 Marketing Principles",3,"Fall, Spring Functions and problems of the marketing process including financing, transportation, distribution, and some aspects 
of advertising and salesmanship. Students will be working with clients to put their knowledge and skills into practice."
MKT 231,Creativity and Innovation,3,"Limited Explores concepts of creative thinking and innovative decision making. Focuses on creative problem solving of 
marketing, public relations, and advertising situations, the marketing of new innovations, and exploration of the 
entrepreneurial stage of the product life cycle."
MKT 275,Sales,3,"Odd Falls Explores the theory, skills, and techniques for success in the field of sales, with emphasis on ethics and biblical values."
MKT 309,Advertising Strategies ,3), See APR 309. 

MKT 340 ,Consumer Relations,3,"Even Springs Marketing strategy implications of consumer behavior, anthropology, economics, psychology, sociology, and the 
consumer.
MKT 341,Retailing,3, Odd Springs Explores all activities involved in selling goods or services directly to final consumers. Topics include types and 
structures of retail operations, pricing and positioning stores in minds of consumers, marketing strategy for retailers, 
promotional strategies, growth of non-store retail and global retail operations.  
"
MKT 347,Public Relations,3, See APR 347. 

MKT 452, Marketing Research and Design,3,"Odd Falls Covers defining, developing, and conducting marketing research, including the cultivation of critical thinking skills 
necessary to help determine an organization's competitive position and enhance the efficiency of products and 
services. Provides experience in research techniques including questionnaire design, focus groups, observational 
research, testing/sampling, results analysis, and statistical analysis of collected data.  
Prerequisite: MKT 221 Marketing Principles. 
Corequisite: BUS 351 Statistics. (May take prior to this course as a prerequisite.) 
 "
MKT 461, Marketing Strategy,3,"Even Springs Designed as a marketing capstone course, this course integrates content from previous coursework. Students develop 
competitive marketing strategies for various types of complex organizations.  
Prerequisite:"
MUS 106,Music Theory II: Harmony,3,"Spring Expands study and development of the basic materials, fundamentals of common practice harmony, and analytical 
skills attained in"
MUS 105,"Music Theory I: Literacy. 

MUS 152 Music Foundations",2,"Fall, Interim, Spring, Online Survey of music literature and history focusing on critical listening and empathy. Covers works by significant composers 
in terms of design, place in history, and aesthetic impact. Field trips may be taken to provide a greater understanding 
of various music forms. Student may not take both
MUS 152 ,and MUS 220. Counts toward General Education. Does 
not count toward music major or minor. Online not available to main campus students. "

MUS 205, Music Theory III: Orchestration,3,"Odd Falls Continuation of the theory track to orchestration. Study of traditional orchestral techniques as they apply to 
contemporary musical settings, idiomatic writing, instrumental characteristics, and concise notation for instruments 
and voices. Utilizes computer software appropriate for creating mockups of large orchestral works. Students 
orchestrate projects for and work with live instrumentalists and vocalists. Students complete written dictation, error-
detection, and transposition exercises. 
Prerequisite:MUS 205 Music Theory III. "

MUS 210, Applied Lessons,1,"Fall, Spring One half-hour applied lesson per week per credit hour. May register for 2 credit hours per semester. May not be taken 
for audit except for majors or minors in music. Students required to attend three music department concerts. 
Corequisite:"
MUS 212,Music Production I,2,"Spring Explores the complex software of digital audio workstations through exercises and projects designed to strengthen 
technical understanding and heighten creative abilities in music production. Examines sound recording and playback, 
multichannel recording, sound synthesis, mixing, and digital sound effects."
MUS 220,Music Appreciation,3,"Online The student gains a thorough exposure to musical literature through extensive listening to examples of music by 
significant composers. Details of the lives of these composers are placed in historical perspective. During the course, a 
foundation is laid for a lifelong process of discovery and enjoyment of music. Students may not take both"
MUS 250,Practicum in Pedagogy,1,"Fall, Spring The ""student teaching"" segment of the piano or vocal pedagogy courses in the A.P.P. program or vocal pedagogy 
concentration in the music major. Includes instruction and record-keeping of lessons with one or two students and 
observation by and follow-up meetings with supervising faculty throughout the semester. A final paper is required. 
Prerequisites: enrolled in the A.P.P. program or a vocal pedagogy concentration in a music major,
MUS 309 Piano Pedagogy or MUS 311 Vocal Pedagogy with a ""B"" or higher "

MUS 308, Survey of Keyboard Literature,2,"Odd Springs Survey of keyboard literature and composers from the late 1500s through the 1900s and an in-depth study of the 
various style characteristics and performance practices of literature surveyed.  
Prerequisite:"
MUS 311,Vocal Pedagogy,2,"Odd Springs Methods and techniques used in teaching voice. Emphasis on study of the anatomy involved in vocal production. 
Required for music education majors. 
Prerequisite: two semesters of Applied voice. 
 
 
 
 
COURSE DESCRIPTIONS 
  
Spring Arbor University 2022-2023 Undergraduate Academic Catalog 
277"
MUS 312,Diction,3,"Even Springs Elementary singing pronunciation techniques in English, Latin, Italian, French, and German. Students prepare songs in 
all five languages. Required of vocal education majors and vocal performance majors.  
Prerequisite: two semesters of applied voice."
MUS 313,The History and Literature of Music to 1750,3,"Even Falls Survey of the history and literature of music. Emphasis on style, periods, composers, and form. Covers medieval 
through baroque periods.  
Prerequisite:"
EDU 202,"Issues and Trends in American Education and EDU 230 
Educational Psychology, or ECE 266 Early Child Growth and Development and EDU 267 Early Adolescent Development. 
 
MUS 323 World Music",2,"Even Interims A survey of traditional music outside the Western Classical heritage, including genres from Africa, South America, East 
Asia, the South Pacific, the Middle East, and Europe. Special emphasis is given to the role of music within culture."
MUS 324,Vocal Literature,2,"Odd Falls Survey of vocal literature and composers from the late 1500s through the 1900s and in-depth study of the various 
style characteristics and performance practices of literature surveyed."
MUS 325,Scoring for Media,2,"Odd Springs Focus on aesthetics, terminology, procedures, and technical aspects of film scoring. Application of these skills in 
scoring a short film. 
Prerequisites:"
MUS 341,Marching Band Materials and Methods,1,"Odd Interims Specialized study of the techniques and skills associated with the preparation and management of marching bands, 
including organization, show design, music arranging, teaching of marching fundamentals, and rehearsal of marching 
routines and show music. Also included will be specific instruction on working with percussion sections and auxiliary 
units. Required for instrumental music education majors."
MUS 349,Methods and Materials for Teaching Music in the Secondary School,3,"Odd Falls Procedures for teaching vocal and instrumental music in the secondary school, as well as philosophy and principles of 
secondary school music curriculum design. Emphasis on organization, administration and pedagogy for ensemble 
instruction. Includes 20 hours of clinical and field experience. Cross listed
MUS 486 Professional Recital.  "

MUS 390, Independent Study,1-4,"Limited A research project for music majors in their junior or senior year. Project should involve research into the history, 
pedagogy, or performance practices of their principal instrument. Variable credit approved by instructor."
MUS 461,Rehearsal Strategies,2,"Even Springs A capstone course for music education majors prior to student teaching. Topics include advanced conducting, artistic 
decision-making, rehearsal planning and organization, error detection in the rehearsal setting, motivational aspects 
for performing ensembles, and ensemble evaluation as an adjudicator. 
Prerequisite:
MUS 363 Conducting. 
 "
MUS 480, Theory Seminar,2,"Even Falls Application of music theory skills to advanced topics including detailed analysis of extended works, orchestration, 
arranging, and composition.  
Prerequisite:
MUS 206 Music Theory IV: Advanced Harmony. "

MUS 486, Professional Recital ,0,"Fall, Spring Graduation requirement for all music majors.
Prerequisite: MUS 386,Junior Recital. "

MUS 487, Piano Proficiency,0,"Fall, Spring Graduation requirement for all music majors. Graded ""S""/""U."" "
NUR 200,Medical Terminology,2,"Interim Online Introduces medical terminology as the study of principles of medical word building to help students develop the 
extensive medical vocabulary used in health care occupations. Provides a thorough grounding in basic medical 
terminology through a study of root words, prefixes, and suffixes. Focuses on correct pronunciation, spelling, and use 
of medical terms. Covers anatomy, physiology, and pathology of disease."
NUR 201,Fundamentals of Nursing,4,"Fall Introduces basic nursing skills; a brief overview of the history of nursing; contributions of selected nursing leaders; the 
influence of social change on the development and image of the profession; the diversity of today’s nursing roles and 
practice settings; and ethical, legal, and political considerations related to the profession. ""B-"" or better required. 
Corequisite:"
NUR 203,Physical and Health Assessment,3,"Fall Provides the framework for preparing students to perform comprehensive health assessments on patients across the 
lifespan. Presents the theoretical foundation for basic assessment and nursing skills. Emphasis placed on nursing 
history; performing physiological, psychological, sociological cultural, and spiritual assessment; and identifying 
stressors and health risks. Includes lab to practice assessment skills on adult patients. ""B-"" or better required. 
Corequisite:"
NUR 321,Professionalism/Professional Values,3,"Online Develops and strengthens core professional values by emphasizing the pursuit of practice excellence. Examines the 
ANA Standards & Scope of Nursing Practice and Ethical Code for Nurses as well as professional associations and 
regulating bodies. Explores the role of nursing theory to guide practice and provides foundational professional 
concepts in legal, ethical, and patient-centered care in preparation for future courses across the educational 
continuum and roles in advanced practical nursing. ""C"" or better is required to progress in the program."
NUR 324,Community Health Theory/Clinical,4,"Spring Focuses on meeting the wholeness needs of families, groups, and communities. The nursing process is applied to 
select problems in the community and the needs of select populations. Students practice family and community client 
assessment and provide holistic care for these groups in appropriate/applicable settings. ""B-"" or better required. 
Corequisite:"
NUR 325,Medical Surgical Theory/Clinical I,6,"Spring Assists students in applying principles from nursing, basic sciences, and liberal arts in care to adult clients through the 
nursing process. Students practice caring behaviors and promote and maintain client adaptation/wholeness with 
more complex needs, including disturbance in nutrition, oxygenation, metabolism, and loss of body integrity. 
Laboratory and client care experiences in institutional settings where students utilize assessment and advanced 
psychomotor skills. Students are expected to establish and maintain therapeutic relationships, begin educating and 
advocating for clients, and collaborate with other members of the health care team. ""B-"" or better required. 
Prerequisites: ""B-"" in"
NUR 328,OB and Women’s Health Theory/Clinical,5,"Fall A theoretical basis for the application of the nursing process to families in the childbearing cycle, including families 
experiencing altered responses. Emphasis on caring, promotion, maintenance, and restoration through examination 
of families’ antepartal, intrapartal and postpartal experience, including care of the newborn. Covers a holistic 
approach to learning the physical, emotional, spiritual, psychosocial, and cultural aspects of women’s health. 
Application takes place in outpatient settings and birthing centers. ""B-"" or better required. 
Corequisite:"
NUR 329,Pediatric Theory/Clinical,5,"Fall Emphasizes the use of the nursing process in caring for families as they respond to well and ill children. Designed to 
enhance the knowledge base of students in pediatric nursing and provide opportunities to deliver comprehensive 
nursing care. Includes clinical application in a variety of settings. ""B-"" or better required. 
Corequisite:"
NUR 341,Patient-centered Care I,3,"Online Focuses on gerontology that utilizes the principles and techniques of holistic nursing assessment and care planning 
guided by evidence-based interventions and nursing theory. Explores the ways an aging population affects the health 
care system and nursing practice. Nursing assessment incorporates review of systems, health promotion, preventative 
care need and palliative care planning. Simulation is introduced."
NUR 344,Clinical Prevention/Population Health,3,"Online Discusses theory and concepts of community/public/global health, including health care systems in transition, health 
policy, and epidemiology. The Community Health Nurse’s (PH/CHN) partnership with the community in health 
promotion, disease, and injury prevention and population health are applied to patient scenarios. Students utilize 
teaching, learning, and behavioral change theories and concepts to plan care."
